Month,MonthRevenue,CumulativeRevenue
2009-01,35.64,35.64
2009-02,37.62,73.26
2009-03,37.62,110.88
2009-04,37.62,148.5
2009-05,37.62,186.12
2009-06,37.62,223.74
2009-07,37.62,261.36
2009-08,37.62,298.98
2009-09,37.62,336.6
2009-10,37.62,374.22
2009-11,37.62,411.84
2009-12,37.62,449.46
2010-01,52.62,502.08
2010-02,46.62,548.7
2010-03,44.62,593.32
2010-04,37.62,630.94
2010-05,37.62,668.56
2010-06,37.62,706.18
2010-07,37.62,743.8
2010-08,37.62,781.42
2010-09,36.63,818.05
2010-10,37.62,855.67
2010-11,37.62,893.29
2010-12,37.62,930.91
2011-01,37.62,968.53
2011-02,37.62,1006.15
2011-03,37.62,1043.77
2011-04,51.62,1095.39
2011-05,42.62,1138.01
2011-06,50.62,1188.63
2011-07,37.62,1226.25
2011-08,37.62,1263.87
2011-09,37.62,1301.49
2011-10,37.62,1339.11
2011-11,23.76,1362.87
2011-12,37.62,1400.49
2012-01,37.62,1438.11
2012-02,37.62,1475.73
2012-03,37.62,1513.35
2012-04,37.62,1550.97
2012-05,37.62,1588.59
2012-06,37.62,1626.21
2012-07,39.62,1665.83
2012-08,47.62,1713.45
2012-09,46.71,1760.16
2012-10,42.62,1802.78
2012-11,37.62,1840.4
2012-12,37.62,1878.02
2013-01,37.62,1915.64
2013-02,27.72,1943.36
2013-03,37.62,1980.98
2013-04,33.66,2014.64
2013-05,37.62,2052.26
2013-06,37.62,2089.88
2013-07,37.62,2127.5
2013-08,37.62,2165.12
2013-09,37.62,2202.74
2013-10,37.62,2240.36
2013-11,49.62,2289.98
2013-12,38.62,2328.6
